x        y        hdg      vel      acc      steer    lat_err  lng_err  hdg_err  
22.80    0.000    0.000    3.000    2.000    -0.000   0.000    77.50    0.000    
23.10    0.000    0.000    3.000    2.000    -0.000   0.000    77.20    0.000    
23.40    0.000    0.000    3.000    2.000    -0.000   0.000    76.90    0.000    
23.70    0.000    0.000    3.000    2.000    -0.000   0.000    76.60    0.000    
24.00    0.000    0.000    3.000    2.000    -0.000   0.000    76.30    0.000    
24.30    0.000    0.000    3.000    2.000    -0.000   0.000    76.00    0.000    
24.60    0.000    0.000    3.000    2.000    -0.000   0.000    75.70    0.000    
24.90    0.000    0.000    3.000    2.000    -0.000   0.000    75.40    0.000    
25.20    0.000    0.000    3.000    2.000    -0.000   0.000    75.10    0.000    
25.50    0.000    0.000    3.000    2.000    -0.000   0.000    74.80    0.000    
25.80    0.000    0.000    3.000    2.000    -0.000   0.000    74.50    0.000    
26.10    0.000    0.000    3.000    2.000    -0.000   0.000    74.20    0.000    
26.40    0.000    0.000    3.000    2.000    -0.000   0.000    73.90    0.000    
26.70    0.000    0.000    3.000    2.000    -0.000   0.000    73.60    0.000    
27.00    0.000    0.000    3.000    2.000    -0.000   0.000    73.30    0.000    
27.30    0.000    0.000    3.000    2.000    -0.000   0.000    73.00    0.000    
27.60    0.000    0.000    3.000    2.000    -0.000   0.000    72.70    0.000    
27.90    0.000    0.000    3.000    2.000    -0.000   0.000    72.40    0.000    
28.20    0.000    0.000    3.000    2.000    -0.000   0.000    72.10    0.000    
28.50    0.000    0.000    3.000    2.000    -0.000   0.000    71.80    0.000    
28.80    0.000    0.000    3.000    2.000    -0.000   0.000    71.50    0.000    
29.10    0.000    0.000    3.000    2.000    -0.000   0.000    71.20    0.000    
29.40    0.000    0.000    3.000    2.000    -0.000   0.000    70.90    0.000    
29.70    0.000    0.000    3.000    2.000    -0.000   0.000    70.60    0.000    
30.00    0.000    0.000    3.000    2.000    -0.000   0.000    70.30    0.000    
30.30    0.000    0.000    3.000    2.000    -0.000   0.000    70.00    0.000    
30.60    0.000    0.000    3.000    2.000    -0.000   0.000    69.70    0.000    
30.90    0.000    0.000    3.000    2.000    -0.000   0.000    69.40    0.000    
31.20    0.000    0.000    3.000    2.000    -0.000   0.000    69.10    0.000    
31.50    0.000    0.000    3.000    2.000    -0.000   0.000    68.80    0.000    
31.80    0.000    0.000    3.000    2.000    -0.000   0.000    68.50    0.000    
32.10    0.000    0.000    3.000    2.000    -0.000   0.000    68.20    0.000    
32.40    0.000    0.000    3.000    2.000    -0.000   0.000    67.90    0.000    
32.70    0.000    0.000    3.000    2.000    -0.000   0.000    67.60    0.000    
33.00    0.000    0.000    3.000    2.000    -0.000   0.000    67.30    0.000    
33.30    0.000    0.000    3.000    2.000    -0.000   0.000    67.00    0.000    
33.60    0.000    0.000    3.000    2.000    -0.000   0.000    66.70    0.000    
33.90    0.000    0.000    3.000    2.000    -0.000   0.000    66.40    0.000    
34.20    0.000    0.000    3.000    2.000    -0.000   0.000    66.10    0.000    
34.50    0.000    0.000    3.000    2.000    -0.000   0.000    65.80    0.000    
34.80    0.000    0.000    3.000    2.000    -0.000   0.000    65.50    0.000    
35.10    0.000    0.000    3.000    2.000    -0.000   0.000    65.20    0.000    
35.40    0.000    0.000    3.000    2.000    -0.000   0.000    64.90    0.000    
35.70    0.000    0.000    3.000    2.000    -0.000   0.000    64.60    0.000    
36.00    0.000    0.000    3.000    2.000    -0.000   0.000    64.30    0.000    
36.30    0.000    0.000    3.000    2.000    -0.000   0.000    64.00    0.000    
36.60    0.000    0.000    3.000    2.000    -0.000   0.000    63.70    0.000    
36.90    0.000    0.000    3.000    2.000    -0.000   0.000    63.40    0.000    
37.20    0.000    0.000    3.000    2.000    -0.000   0.000    63.10    0.000    
37.50    0.000    0.000    3.000    2.000    -0.000   0.000    62.80    0.000    
37.80    0.000    0.000    3.000    2.000    -0.000   0.000    62.50    0.000    
38.10    0.000    0.000    3.000    2.000    -0.000   0.000    62.20    0.000    
38.40    0.000    0.000    3.000    2.000    -0.000   0.000    61.90    0.000    
38.70    0.000    0.000    3.000    2.000    -0.000   0.000    61.60    0.000    
39.00    0.000    0.000    3.000    2.000    -0.000   0.000    61.30    0.000    
39.30    0.000    0.000    3.000    2.000    -0.000   0.000    61.00    0.000    
39.60    0.000    0.000    3.000    2.000    -0.000   0.000    60.70    0.000    
39.90    0.000    0.000    3.000    2.000    -0.000   0.000    60.40    0.000    
40.20    0.000    0.000    3.000    2.000    -0.000   0.000    60.10    0.000    
40.50    0.000    0.000    3.000    2.000    -0.000   0.000    59.80    0.000    
40.80    0.000    0.000    3.000    2.000    -0.000   0.000    59.50    0.000    
41.10    0.000    0.000    3.000    2.000    -0.000   0.000    59.20    0.000    
41.40    0.000    0.000    3.000    2.000    -0.000   0.000    58.90    0.000    
41.70    0.000    0.000    3.000    2.000    -0.000   0.000    58.60    0.000    
42.00    0.000    0.000    3.000    2.000    -0.000   0.000    58.30    0.000    
42.30    0.000    0.000    3.000    2.000    -0.000   0.000    58.00    0.000    
42.60    0.000    0.000    3.000    2.000    -0.000   0.000    57.70    0.000    
42.90    0.000    0.000    3.000    2.000    -0.000   0.000    57.40    0.000    
43.20    0.000    0.000    3.000    2.000    -0.000   0.000    57.10    0.000    
43.50    0.000    0.000    3.000    2.000    -0.000   0.000    56.80    0.000    
43.80    0.000    0.000    3.000    2.000    -0.000   0.000    56.50    0.000    
44.10    0.000    0.000    3.000    2.000    -0.000   0.000    56.20    0.000    
44.40    0.000    0.000    3.000    2.000    -0.000   0.000    55.90    0.000    
44.70    0.000    0.000    3.000    2.000    -0.000   0.000    55.60    0.000    
45.00    0.000    0.000    3.000    2.000    -0.000   0.000    55.30    0.000    
45.30    0.000    0.000    3.000    2.000    -0.000   0.000    55.00    0.000    
45.60    0.000    0.000    3.000    2.000    -0.000   0.000    54.70    0.000    
45.90    0.000    0.000    3.000    2.000    -0.000   0.000    54.40    0.000    
46.20    0.000    0.000    3.000    2.000    -0.000   0.000    54.10    0.000    
46.50    0.000    0.000    3.000    2.000    -0.000   0.000    53.80    0.000    
46.80    0.000    0.000    3.000    2.000    -0.000   0.000    53.50    0.000    
47.10    0.000    0.000    3.000    2.000    -0.000   0.000    53.20    0.000    
