time     x        y        hdg      vel      acc      steer    lat_err  lng_err  hdg_err  
6.800    18.54    7.266    0.758    3.000    0.000    0.100    0.000    0.000    0.000    
6.900    18.76    7.472    0.769    3.000    0.000    0.100    0.000    0.000    0.000    
7.000    18.98    7.681    0.780    3.000    0.000    0.100    0.000    0.000    0.000    
7.100    19.19    7.892    0.792    3.000    0.000    0.100    0.000    0.000    0.000    
7.200    19.40    8.105    0.803    3.000    0.000    0.100    0.000    0.000    0.000    
7.300    19.61    8.321    0.814    3.000    0.000    0.100    0.000    0.000    0.000    
7.400    19.81    8.539    0.825    3.000    0.000    0.100    0.000    0.000    0.000    
7.500    20.02    8.760    0.836    3.000    0.000    0.100    0.000    0.000    0.000    
7.600    20.22    8.982    0.847    3.000    0.000    0.100    0.000    0.000    0.000    
7.700    20.42    9.207    0.858    3.000    0.000    0.100    0.000    0.000    0.000    
7.800    20.61    9.434    0.870    3.000    0.000    0.100    0.000    0.000    0.000    
7.900    20.81    9.663    0.881    3.000    0.000    0.100    0.000    0.000    0.000    
8.000    21.00    9.895    0.892    3.000    0.000    0.100    0.000    0.000    0.000    
8.100    21.19    10.13    0.903    3.000    0.000    0.100    0.000    0.000    0.000    
8.200    21.37    10.36    0.914    3.000    0.000    0.100    0.000    0.000    0.000    
8.300    21.56    10.60    0.925    3.000    0.000    0.100    0.000    0.000    0.000    
8.400    21.74    10.84    0.936    3.000    0.000    0.100    0.000    0.000    0.000    
8.500    21.91    11.08    0.948    3.000    0.000    0.100    0.000    0.000    0.000    
8.600    22.09    11.33    0.959    3.000    0.000    0.100    0.000    0.000    0.000    
8.700    22.26    11.57    0.970    3.000    0.000    0.100    0.000    0.000    0.000    
8.800    22.43    11.82    0.981    3.000    0.000    0.100    0.000    0.000    0.000    
8.900    22.60    12.07    0.992    3.000    0.000    0.100    0.000    0.000    0.000    
9.000    22.76    12.32    1.003    3.000    0.000    0.100    0.000    0.000    0.000    
9.100    22.92    12.57    1.014    3.000    0.000    0.100    0.000    0.000    0.000    
9.200    23.08    12.83    1.026    3.000    0.000    0.100    0.000    0.000    0.000    
9.300    23.24    13.08    1.037    3.000    0.000    0.100    0.000    0.000    0.000    
9.400    23.39    13.34    1.048    3.000    0.000    0.100    0.000    0.000    0.000    
9.500    23.54    13.60    1.059    3.000    0.000    0.100    0.000    0.000    0.000    
9.600    23.69    13.86    1.070    3.000    0.000    0.100    0.000    0.000    0.000    
9.700    23.83    14.13    1.081    3.000    0.000    0.100    0.000    0.000    0.000    
9.800    23.97    14.39    1.093    3.000    0.000    0.100    0.000    0.000    0.000    
9.900    24.11    14.66    1.104    3.000    0.000    0.100    0.000    0.000    0.000    
10.000   24.24    14.93    1.115    3.000    0.000    0.100    0.000    0.000    0.000    
10.10    24.38    15.20    1.126    3.000    0.000    0.100    0.000    0.000    0.000    
10.20    24.51    15.47    1.137    3.000    0.000    0.100    0.000    0.000    0.000    
10.30    24.63    15.74    1.148    3.000    0.000    0.100    0.000    0.000    0.000    
10.40    24.75    16.01    1.159    3.000    0.000    0.100    0.000    0.000    0.000    
10.50    24.87    16.29    1.171    3.000    0.000    0.100    0.000    0.000    0.000    
10.60    24.99    16.56    1.182    3.000    0.000    0.100    0.000    0.000    0.000    
10.70    25.11    16.84    1.193    3.000    0.000    0.100    0.000    0.000    0.000    
10.80    25.22    17.12    1.204    3.000    0.000    0.100    0.000    0.000    0.000    
10.90    25.32    17.40    1.215    3.000    0.000    0.100    0.000    0.000    0.000    
11.00    25.43    17.68    1.226    3.000    0.000    0.100    0.000    0.000    0.000    
11.10    25.53    17.96    1.237    3.000    0.000    0.100    0.000    0.000    0.000    
11.20    25.63    18.25    1.249    3.000    0.000    0.100    0.000    0.000    0.000    
11.30    25.72    18.53    1.260    3.000    0.000    0.100    0.000    0.000    0.000    
11.40    25.81    18.82    1.271    3.000    0.000    0.100    0.000    0.000    0.000    
11.50    25.90    19.10    1.282    3.000    0.000    0.100    0.000    0.000    0.000    
11.60    25.99    19.39    1.293    3.000    0.000    0.100    0.000    0.000    0.000    
11.70    26.07    19.68    1.304    3.000    0.000    0.100    0.000    0.000    0.000    
11.80    26.15    19.97    1.315    3.000    0.000    0.100    0.000    0.000    0.000    
11.90    26.23    20.26    1.327    3.000    0.000    0.100    0.000    0.000    0.000    
12.00    26.30    20.55    1.338    3.000    0.000    0.100    0.000    0.000    0.000    
12.10    26.37    20.84    1.349    3.000    0.000    0.100    0.000    0.000    0.000    
12.20    26.43    21.13    1.360    3.000    0.000    0.100    0.000    0.000    0.000    
12.30    26.50    21.43    1.371    3.000    0.000    0.100    0.000    0.000    0.000    
12.40    26.56    21.72    1.382    3.000    0.000    0.100    0.000    0.000    0.000    
12.50    26.61    22.02    1.394    3.000    0.000    0.100    0.000    0.000    0.000    
12.60    26.66    22.31    1.405    3.000    0.000    0.100    0.000    0.000    0.000    
12.70    26.71    22.61    1.416    3.000    0.000    0.100    0.000    0.000    0.000    
12.80    26.76    22.90    1.427    3.000    0.000    0.100    0.000    0.000    0.000    
12.90    26.80    23.20    1.438    3.000    0.000    0.100    0.000    0.000    0.000    
13.00    26.84    23.50    1.449    3.000    0.000    0.100    0.000    0.000    0.000    
13.10    26.88    23.80    1.460    3.000    0.000    0.100    0.000    0.000    0.000    
13.20    26.91    24.09    1.472    3.000    0.000    0.100    0.000    0.000    0.000    
13.30    26.94    24.39    1.483    3.000    0.000    0.100    0.000    0.000    0.000    
13.40    26.97    24.69    1.494    3.000    0.000    0.100    0.000    0.000    0.000    
13.50    26.99    24.99    1.505    3.000    0.000    0.100    0.000    0.000    0.000    
13.60    27.01    25.29    1.516    3.000    0.000    0.100    0.000    0.000    0.000    
13.70    27.03    25.59    1.527    3.000    0.000    0.100    0.000    0.000    0.000    
13.80    27.04    25.89    1.538    3.000    0.000    0.100    0.000    0.000    0.000    
13.90    27.05    26.19    1.550    3.000    0.000    0.100    0.000    0.000    0.000    
14.00    27.06    26.49    1.561    3.000    0.000    0.100    0.000    0.000    0.000    
14.10    27.06    26.79    1.572    3.000    0.000    0.100    0.000    0.000    0.000    
14.20    27.06    27.09    1.583    3.000    0.000    0.100    0.000    0.000    0.000    
14.30    27.06    27.39    1.594    3.000    0.000    0.100    0.000    0.000    0.000    
14.40    27.05    27.69    1.605    3.000    0.000    0.100    0.000    0.000    0.000    
14.50    27.04    27.99    1.617    3.000    0.000    0.100    0.000    0.000    0.000    
14.60    27.02    28.29    1.628    3.000    0.000    0.100    0.000    0.000    0.000    
14.70    27.01    28.59    1.639    3.000    0.000    0.100    0.000    0.000    0.000    
14.80    26.99    28.89    1.650    3.000    0.000    0.100    0.000    0.000    0.000    
14.90    26.96    29.19    1.661    3.000    0.000    0.100    0.000    0.000    0.000    
15.00    26.94    29.49    1.672    3.000    0.000    0.100    0.000    0.000    0.000    
15.10    26.91    29.78    1.683    3.000    0.000    0.100    0.000    0.000    0.000    
